"taxon","id","cover"
"Acetobacteraceae bacterium","Xixon20",23
"Acidicapsa sp.","Xixon03",12
"Acidisphaera sp.","Xixon03",17
"Acidobacteria bacterium","Xixon02",34
"Acidobacteria bacterium","Xixon03",41
"Acidobacteria bacterium","Xixon13",37
"Acidobacteria bacterium","Xixon14",42
"Acidobacteria bacterium","Xixon21",18
"Acidobacteria bacterium","Xixon24",98
"Actinomycetales bacterium","Xixon03",150
"Actinomycetales bacterium","Xixon24",26
"Actinomycetales bacterium","Xixon28",11
"Actinomycetales bacterium","Xixon29",27
"Agromyces ulmi","Xixon01",204
"Agromyces ulmi","Xixon05",50
"Agromyces ulmi","Xixon06",120
"Agromyces ulmi","Xixon09",24
"Agromyces ulmi","Xixon13",19
"Agromyces ulmi","Xixon26",16
"Agromyces ulmi","Xixon27",13
"Alicyclobacillus pomorum","Xixon14",26
"Ammoniibacillus agariperforans","Xixon18",13
"Anaeromyxobacter dehalogenans","Xixon23",42
"Anaeromyxobacter sp.","Xixon01",107
"Anaeromyxobacter sp.","Xixon04",80
"Anaeromyxobacter sp.","Xixon05",36
"Anaeromyxobacter sp.","Xixon09",38
"Anaeromyxobacter sp.","Xixon13",33
"Anaeromyxobacter sp.","Xixon15",77
"Anaeromyxobacter sp.","Xixon19",35
"Anaeromyxobacter sp.","Xixon22",17
"Anaeromyxobacter sp.","Xixon25",13
"Anaeromyxobacter sp.","Xixon27",17
"Aquihabitans daechungensis","Xixon02",25
"Aquihabitans daechungensis","Xixon04",40
"Aquihabitans daechungensis","Xixon05",29
"Aquihabitans daechungensis","Xixon06",89
"Aquihabitans daechungensis","Xixon08",36
"Aquihabitans daechungensis","Xixon09",82
"Aquihabitans daechungensis","Xixon10",72
"Aquihabitans daechungensis","Xixon11",32
"Aquihabitans daechungensis","Xixon12",22
"Aquihabitans daechungensis","Xixon13",26
"Aquihabitans daechungensis","Xixon14",22
"Aquihabitans daechungensis","Xixon16",37
"Aquihabitans daechungensis","Xixon17",25
"Aquihabitans daechungensis","Xixon18",61
"Aquihabitans daechungensis","Xixon19",26
"Aquihabitans daechungensis","Xixon20",109
"Aquihabitans daechungensis","Xixon22",42
"Aquihabitans daechungensis","Xixon25",25
"Aquihabitans daechungensis","Xixon26",33
"Aquihabitans daechungensis","Xixon27",61
"Aquihabitans daechungensis","Xixon28",31
"Aquihabitans daechungensis","Xixon29",31
"Aquimonas sp.","Xixon01",20
"Aquimonas sp.","Xixon04",29
"Aquimonas sp.","Xixon06",68
"Aquimonas sp.","Xixon09",29
