"taxon","id","cover"
"Abortiporus biennis","Xixon05",20
"Abortiporus biennis","Xixon13",13
"Abortiporus biennis","Xixon19",688
"Absconditella rubra","Xixon03",37
"Acaulium album","Xixon06",35
"Achroiostachys betulicola","Xixon11",71
"Achroiostachys betulicola","Xixon21",21
"Achroiostachys levigata","Xixon01",14
"Achroiostachys levigata","Xixon05",13
"Achroiostachys levigata","Xixon07",32
"Achroiostachys levigata","Xixon11",174
"Achroiostachys levigata","Xixon21",36
"Acremonium acutatum","Xixon28",13
"Acremonium alternatum","Xixon04",24
"Acremonium alternatum","Xixon05",310
"Acremonium alternatum","Xixon06",91
"Acremonium alternatum","Xixon07",31
"Acremonium alternatum","Xixon08",31
"Acremonium alternatum","Xixon09",401
"Acremonium alternatum","Xixon10",369
"Acremonium alternatum","Xixon12",105
"Acremonium alternatum","Xixon13",201
"Acremonium alternatum","Xixon14",61
"Acremonium alternatum","Xixon20",35
"Acremonium biseptum","Xixon08",37
"Acremonium biseptum","Xixon09",237
"Acremonium biseptum","Xixon13",18
"Acremonium camptosporum","Xixon24",91
"Acremonium chrysogenum","Xixon06",26
"Acremonium chrysogenum","Xixon28",29
"Acremonium curvulum","Xixon12",176
"Acremonium curvulum","Xixon14",68
"Acremonium curvulum","Xixon25",76
"Acremonium curvulum","Xixon27",75
"Acremonium fusidioides","Xixon01",13
"Acremonium fusidioides","Xixon02",17
"Acremonium fusidioides","Xixon04",11
"Acremonium fusidioides","Xixon06",158
"Acremonium fusidioides","Xixon09",692
"Acremonium fusidioides","Xixon10",167
"Acremonium fusidioides","Xixon12",39
"Acremonium fusidioides","Xixon13",161
"Acremonium fusidioides","Xixon14",620
"Acremonium fusidioides","Xixon18",68
"Acremonium fusidioides","Xixon25",40
"Acremonium fusidioides","Xixon26",37
"Acremonium fusidioides","Xixon27",13
"Acremonium fusidioides","Xixon28",13
"Acremonium hennebertii","Xixon29",35
"Acremonium hennebertii","Xixon30",44
"Acremonium hyalinulum","Xixon09",435
"Acremonium hyalinulum","Xixon13",424
"Acremonium hyalinulum","Xixon14",23
"Acremonium hyalinulum","Xixon18",110
"Acremonium hyalinulum","Xixon28",12
"Acremonium nepalense","Xixon01",16
"Acremonium nepalense","Xixon13",17
"Acremonium nepalense","Xixon22",18
"Acremonium nepalense","Xixon28",270
"Acremonium persicinum","Xixon01",340
"Acremonium persicinum","Xixon02",1489
"Acremonium persicinum","Xixon04",57
"Acremonium persicinum","Xixon05",842
"Acremonium persicinum","Xixon06",33
"Acremonium persicinum","Xixon07",554
"Acremonium persicinum","Xixon08",597
"Acremonium persicinum","Xixon09",323
"Acremonium persicinum","Xixon10",147
"Acremonium persicinum","Xixon11",28
"Acremonium persicinum","Xixon12",91
"Acremonium persicinum","Xixon13",522
"Acremonium persicinum","Xixon14",394
"Acremonium persicinum","Xixon15",129
"Acremonium persicinum","Xixon16",62
"Acremonium persicinum","Xixon17",50
"Acremonium persicinum","Xixon18",96
"Acremonium persicinum","Xixon19",25
"Acremonium persicinum","Xixon20",591
"Acremonium persicinum","Xixon21",153
"Acremonium persicinum","Xixon22",990
"Acremonium persicinum","Xixon23",762
"Acremonium persicinum","Xixon26",762
"Acremonium persicinum","Xixon28",128
"Acremonium persicinum","Xixon30",38
"Acremonium pilosum","Xixon04",17
"Acremonium pilosum","Xixon05",149
"Acremonium pilosum","Xixon06",329
"Acremonium pilosum","Xixon09",44
"Acremonium pilosum","Xixon10",106
"Acremonium pilosum","Xixon13",143
"Acremonium pilosum","Xixon14",35
"Acremonium pilosum","Xixon18",55
"Acremonium pilosum","Xixon25",15
"Acremonium pinkertoniae","Xixon17",13
"Acremonium rutilum","Xixon01",30
"Acremonium rutilum","Xixon02",30
"Acremonium rutilum","Xixon05",1006
"Acremonium rutilum","Xixon07",16
"Acremonium rutilum","Xixon08",126
"Acremonium rutilum","Xixon09",120
"Acremonium rutilum","Xixon11",45
"Acremonium rutilum","Xixon12",1633
"Acremonium rutilum","Xixon13",101
"Acremonium rutilum","Xixon14",272
"Acremonium rutilum","Xixon18",66
"Acremonium rutilum","Xixon22",8
"Acremonium rutilum","Xixon25",171
"Acremonium rutilum","Xixon26",28
"Acremonium rutilum","Xixon27",482
"Acremonium rutilum","Xixon28",63
"Acremonium sclerotigenum","Xixon28",15
"Acremonium sclerotigenum","Xixon29",42
"Acremonium sclerotigenum","Xixon30",17
"Acremonium spinosum","Xixon24",220
"Acremonium spinosum","Xixon28",93
"Acremonium spinosum","Xixon29",471
"Acremonium spinosum","Xixon30",211
"Acremonium tubakii","Xixon01",91
"Acremonium tubakii","Xixon05",25
"Acremonium tubakii","Xixon08",24
"Acremonium tubakii","Xixon12",58
"Acremonium tubakii","Xixon13",43
"Acremonium tubakii","Xixon18",44
"Acremonium tubakii","Xixon20",33
"Acremonium tubakii","Xixon21",30
"Acremonium tubakii","Xixon26",63
"Acremonium tubakii","Xixon27",29
"Acremonium tubakii","Xixon28",888
"Acrodontium hydnicola","Xixon03",3784
"Acrodontium hydnicola","Xixon24",64
"Acrodontium hydnicola","Xixon28",22
"Acrodontium hydnicola","Xixon29",249
"Acrodontium hydnicola","Xixon30",278
"Acrostalagmus luteoalbus","Xixon01",53
"Acrostalagmus luteoalbus","Xixon05",43
"Acrostalagmus luteoalbus","Xixon06",2125
"Acrostalagmus luteoalbus","Xixon08",1025
"Acrostalagmus luteoalbus","Xixon09",23
"Acrostalagmus luteoalbus","Xixon13",50
"Acrostalagmus luteoalbus","Xixon14",20
"Acrostalagmus luteoalbus","Xixon21",32
"Acrostalagmus luteoalbus","Xixon28",190
"Acrostalagmus luteoalbus","Xixon29",75
"Acrostalagmus luteoalbus","Xixon30",13
"Adisciso yakushimense","Xixon22",9
"Adisciso yakushimense","Xixon30",147
"Agaricus gemlii","Xixon09",22
"Agaricus gemlii","Xixon28",15
"Agaricus moelleroides","Xixon30",13
"Akanthomyces muscarius","Xixon27",18
"Alatospora pulchella","Xixon17",16
"Albifimbria verrucaria","Xixon04",18
"Albifimbria verrucaria","Xixon09",99
"Albifimbria verrucaria","Xixon11",51
"Albifimbria verrucaria","Xixon12",37
"Albifimbria verrucaria","Xixon13",46
"Albifimbria verrucaria","Xixon16",1088
"Albifimbria verrucaria","Xixon19",91
"Albifimbria verrucaria","Xixon20",40
"Albifimbria verrucaria","Xixon23",22
"Alfaria caricicola","Xixon10",17
"Alfaria caricicola","Xixon15",20
"Alfaria caricicola","Xixon27",61
"Alfaria putrefolia","Xixon07",68
"Alfaria putrefolia","Xixon11",15
"Alfaria putrefolia","Xixon16",12
"Alfaria putrefolia","Xixon22",127
"Alternaria angustiovoidea","Xixon01",76
"Alternaria angustiovoidea","Xixon05",43
"Alternaria angustiovoidea","Xixon06",90
"Alternaria angustiovoidea","Xixon08",59
"Alternaria angustiovoidea","Xixon09",47
"Alternaria angustiovoidea","Xixon10",26
"Alternaria angustiovoidea","Xixon11",48
"Alternaria angustiovoidea","Xixon14",125
"Alternaria angustiovoidea","Xixon16",33
"Alternaria angustiovoidea","Xixon17",433
"Alternaria angustiovoidea","Xixon18",31
"Alternaria angustiovoidea","Xixon19",190
"Alternaria angustiovoidea","Xixon20",8773
"Alternaria angustiovoidea","Xixon21",97
"Alternaria angustiovoidea","Xixon22",209
"Alternaria angustiovoidea","Xixon23",153
"Alternaria angustiovoidea","Xixon24",24
"Alternaria angustiovoidea","Xixon25",9181
"Alternaria angustiovoidea","Xixon26",298
"Alternaria angustiovoidea","Xixon27",33
"Alternaria chlamydosporigena","Xixon20",102
"Alternaria metachromatica","Xixon01",27
"Alternaria metachromatica","Xixon05",32
"Alternaria metachromatica","Xixon06",34
"Alternaria metachromatica","Xixon11",13
"Alternaria metachromatica","Xixon17",22
"Alternaria metachromatica","Xixon19",17
"Alternaria metachromatica","Xixon20",102
"Alternaria subcucurbitae","Xixon09",17
"Alternaria subcucurbitae","Xixon13",18
"Ampelomyces quisqualis","Xixon08",27
"Ampelomyces quisqualis","Xixon17",57
"Ampelomyces quisqualis","Xixon20",74
"Angustimassarina acerina","Xixon05",183
"Angustimassarina acerina","Xixon06",15
"Angustimassarina acerina","Xixon08",105
"Angustimassarina acerina","Xixon09",550
"Angustimassarina acerina","Xixon10",48
"Angustimassarina acerina","Xixon11",76
"Angustimassarina acerina","Xixon13",325
"Angustimassarina acerina","Xixon14",78
"Angustimassarina acerina","Xixon16",15
"Angustimassarina acerina","Xixon20",286
"Angustimassarina acerina","Xixon24",24
"Angustimassarina acerina","Xixon27",86
"Angustimassarina acerina","Xixon29",22
"Angustimassarina acerina","Xixon30",14
"Annulohypoxylon stygium","Xixon29",59
"Apiotrichum gamsii","Xixon03",54
"Apiotrichum scarabaeorum","Xixon28",12
"Apodus deciduus","Xixon01",325
"Apodus deciduus","Xixon02",98
"Apodus deciduus","Xixon05",35
"Apodus deciduus","Xixon08",360
"Apodus deciduus","Xixon13",25
"Apodus deciduus","Xixon28",192
"Apodus deciduus","Xixon29",20
"Archaeospora europaea","Xixon02",24
"Archaeospora schenckii","Xixon13",33
"Armillaria mellea","Xixon28",70
"Armillaria mellea","Xixon29",15
"Arthrinium esporlense","Xixon22",66
"Arthrinium malaysianum","Xixon02",14
"Arthrinium malaysianum","Xixon04",16
"Arthrinium malaysianum","Xixon05",30
"Arthrinium malaysianum","Xixon06",32
"Arthrinium malaysianum","Xixon09",45
"Arthrinium malaysianum","Xixon13",65
"Arthrinium malaysianum","Xixon14",47
"Arthrinium malaysianum","Xixon17",12
"Arthrinium malaysianum","Xixon19",31
"Arthrobotrys dactyloides","Xixon12",18
"Arthrobotrys dactyloides","Xixon18",15
"Arthrobotrys dactyloides","Xixon25",30
"Arthrobotrys dactyloides","Xixon26",35
"Arthrocladium caudatum","Xixon11",72
"Arthroderma curreyi","Xixon28",13
"Arthrographis kalrae","Xixon24",16
"Arthrographis longispora","Xixon06",55
"Arthrographis longispora","Xixon13",75
"Arthropsis hispanica","Xixon01",15
"Arthropsis hispanica","Xixon02",21
"Arthropsis hispanica","Xixon06",184
"Arthropsis hispanica","Xixon11",34
"Arthropsis hispanica","Xixon13",25
"Arthropsis hispanica","Xixon17",14
"Arthropsis hispanica","Xixon19",59
"Arthropsis hispanica","Xixon20",72
"Arthropsis hispanica","Xixon22",469
"Arthropsis hispanica","Xixon29",115
"Articulospora proliferata","Xixon05",24
"Articulospora proliferata","Xixon07",12
"Articulospora proliferata","Xixon08",17
"Articulospora proliferata","Xixon11",48
"Articulospora proliferata","Xixon12",39
"Articulospora proliferata","Xixon13",36
"Articulospora proliferata","Xixon17",21
"Articulospora proliferata","Xixon18",44
"Articulospora proliferata","Xixon19",10
"Articulospora proliferata","Xixon20",866
"Articulospora proliferata","Xixon22",92
"Articulospora proliferata","Xixon23",20
"Articulospora proliferata","Xixon27",41
"Ascobolus crenulatus","Xixon13",49
"Ascobolus foliicola","Xixon06",32
"Ascobolus foliicola","Xixon07",49
"Ascobolus foliicola","Xixon08",27
"Ascobolus foliicola","Xixon09",22
"Ascobolus foliicola","Xixon12",20
"Ascobolus foliicola","Xixon16",14
"Ascobolus foliicola","Xixon22",30
"Aspergillus bicolor","Xixon05",24
"Aspergillus bicolor","Xixon07",361
"Aspergillus collinsii","Xixon18",13
"Aspergillus collinsii","Xixon26",238
"Aspergillus collinsii","Xixon27",16
"Aspergillus flaschentraegeri","Xixon02",19
"Aspergillus flaschentraegeri","Xixon05",50
"Aspergillus flaschentraegeri","Xixon07",375
"Aspergillus flaschentraegeri","Xixon08",56
"Aspergillus flaschentraegeri","Xixon12",130
"Aspergillus flaschentraegeri","Xixon16",133
"Aspergillus flaschentraegeri","Xixon25",36
"Aspergillus flaschentraegeri","Xixon26",32
"Aspergillus fumigatus","Xixon28",20
"Aspergillus heterocaryoticus","Xixon08",70
"Aspergillus heterocaryoticus","Xixon28",54
"Aspergillus inflatus","Xixon24",24
"Aspergillus inflatus","Xixon28",13
"Aspergillus lanosus","Xixon16",146
"Aspergillus pseudodeflectus","Xixon12",15
"Aspergillus pseudodeflectus","Xixon16",48
"Aspergillus pseudodeflectus","Xixon17",32
"Aspergillus pseudodeflectus","Xixon21",25
"Aspergillus spelaeus","Xixon22",39
"Aspergillus tanneri","Xixon16",20
"Aspergillus tardus","Xixon03",19
"Aspergillus tardus","Xixon30",55
"Atractiella rhizophila","Xixon14",863
"Atractospora decumbens","Xixon24",16
"Atractospora decumbens","Xixon30",21
"Auxarthron concentricum","Xixon02",23
"Auxarthron concentricum","Xixon06",32
"Auxarthron concentricum","Xixon07",52
"Auxarthron concentricum","Xixon12",29
"Auxarthron ostraviense","Xixon26",103
"Auxarthron umbrinum","Xixon02",41
"Auxarthron umbrinum","Xixon05",279
"Auxarthron umbrinum","Xixon07",69
"Auxarthron umbrinum","Xixon08",61
"Auxarthron umbrinum","Xixon12",11325
"Auxarthron umbrinum","Xixon14",53
"Auxarthron umbrinum","Xixon17",118
"Auxarthron umbrinum","Xixon18",1264
"Auxarthron umbrinum","Xixon25",20
"Auxarthron umbrinum","Xixon26",5804
"Auxarthron umbrinum","Xixon27",403
"Auxarthron umbrinum","Xixon28",14
"Bacidina arnoldiana","Xixon11",724
"Bacidina arnoldiana","Xixon20",36
"Basidiobolus magnus","Xixon28",73
"Beauveria australis","Xixon10",780
"Beauveria australis","Xixon11",135
"Beauveria australis","Xixon21",1608
"Beauveria felina","Xixon05",612
"Beauveria felina","Xixon06",15
"Beauveria felina","Xixon08",45
"Beauveria felina","Xixon10",45
"Beauveria felina","Xixon15",74
"Beauveria felina","Xixon21",407
"Beauveria felina","Xixon22",9
"Beauveria felina","Xixon28",12
"Biappendiculispora japonica","Xixon19",17
"Bifiguratus adelaidae","Xixon03",82
"Bifiguratus adelaidae","Xixon24",27
"Bifiguratus adelaidae","Xixon28",44
"Bifiguratus adelaidae","Xixon29",125
"Bifiguratus adelaidae","Xixon30",106
"Bionectria rossmaniae","Xixon01",2664
"Bionectria rossmaniae","Xixon02",556
"Bionectria rossmaniae","Xixon05",729
"Bionectria rossmaniae","Xixon06",1812
"Bionectria rossmaniae","Xixon07",534
"Bionectria rossmaniae","Xixon08",12267
"Bionectria rossmaniae","Xixon09",346
"Bionectria rossmaniae","Xixon10",15
"Bionectria rossmaniae","Xixon12",844
"Bionectria rossmaniae","Xixon13",453
"Bionectria rossmaniae","Xixon14",146
"Bionectria rossmaniae","Xixon17",34
"Bionectria rossmaniae","Xixon18",505
"Bionectria rossmaniae","Xixon24",658
"Bionectria rossmaniae","Xixon25",166
"Bionectria rossmaniae","Xixon26",335
"Bionectria rossmaniae","Xixon27",175
"Bionectria rossmaniae","Xixon28",552
"Bionectria rossmaniae","Xixon29",605
"Bionectria rossmaniae","Xixon30",50
"Biscogniauxia bartholomaei","Xixon29",19
"Boeremia exigua","Xixon01",1206
"Boeremia exigua","Xixon05",128
"Boeremia exigua","Xixon06",65
"Boeremia exigua","Xixon07",66
"Boeremia exigua","Xixon08",202
"Boeremia exigua","Xixon09",763
"Boeremia exigua","Xixon10",75
"Boeremia exigua","Xixon13",855
"Boeremia exigua","Xixon14",16
"Boeremia exigua","Xixon16",179
"Boeremia exigua","Xixon17",153
"Boeremia exigua","Xixon18",314
"Boeremia exigua","Xixon19",278
"Boeremia exigua","Xixon20",878
"Boeremia exigua","Xixon21",937
"Boeremia exigua","Xixon22",22
"Boeremia exigua","Xixon25",96
"Boeremia exigua","Xixon27",95
"Boeremia exigua","Xixon28",436
"Boeremia exigua","Xixon29",25
"Boeremia exigua","Xixon30",86
