"ASV","kingdom","phylum","class","order","family","genus","species","id","value","presence"
"a2878a4e252dfa8b1162300ca2040ca5","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"Xixon01",10604,1
"e8d9fe5c6cc4339ee436176410a6ac4f","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",NA,"Xixon01",114,1
"c76ba8d443c6cf2eb71de1ac60c9ec38","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium anisopliae","Xixon01",283,1
"c7fc44b6997a0b2dc2ad77d9423eb06d","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","Plectosphaerella oratosquillae","Xixon01",3007,1
"7fbb93d82e4abea98be2b43aa3e311fd","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA,"Xixon01",475,1
"025e9f8070cfa905aa869508c3797e82","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps","Cordyceps bassiana","Xixon01",525,1
"d3f1ba072c20e6046d266762e726f66e","Fungi","Olpidiomycota","Olpidiomycetes","Olpidiales","Olpidiaceae","Olpidium","Olpidium brassicae","Xixon01",178,1
"804a43764498d03c0148907e0b098fd1","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","Pyrenochaetopsis leptospora","Xixon01",806,1
"64d989fd28f1ef848f4e6f19b9101282","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum",NA,"Xixon01",20,1
"fe4e0b152c52f3df8f5ad76f2337b711","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavaria","Clavaria tenuipes","Xixon01",37062,1
"079240a1ba113328cf31bd0c39964cfb","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella minutissima","Xixon01",693,1
"a25e162917132b17a2e85578d39b1a45","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum",NA,"Xixon01",47,1
"c482cf5b6fd6c33f451b4ca49f6afec7","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA,"Xixon01",440,1
"6ce7604e712f963bbd0ae0f6b7a3cf5e","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria angustiovoidea","Xixon01",76,1
"04ba5801045987c7ca491d8bf12b3bb7","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"Xixon01",344,1
"10898cf52037e37e5985c5f0a03ff9db","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavaria","Clavaria tenuipes","Xixon01",112,1
"8a3eaa5f957eb0704cb2ad7d4c583e10","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,"Xixon01",556,1
"5de946849ad4564eade890da05322858","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium marquandii","Xixon01",2178,1
"4360403cd3e59f847933844e89565fb8","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys","unidentified","Xixon01",3105,1
"31604e1df27291116a71346824b6b5d7","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"Xixon01",1279,1
"6d3280b1be55bf6a66bccd41a4d92d57","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium solani","Xixon01",265,1
"d3591f7424ffb3ef1f06766707bcd0da","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cercophora","unidentified","Xixon01",513,1
"5025f9ace34d113e6387aa2761920bbd","Fungi","Ascomycota","Eurotiomycetes","Onygenales","unidentified","unidentified","unidentified","Xixon01",7053,1
"fe4a195a11465e4f21a2401bf1617280","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria","Ilyonectria robusta","Xixon01",442,1
"4f982847195ab67f4210df0afaf75069","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala equina","Xixon01",31,1
"97b3e003e94cdf6794ed34cee2eee66e","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,"Xixon01",220,1
"b2b46b20700252051be834ebed659074","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola",NA,"Xixon01",90,1
"84ef085f1563032e5e339acfc5f30811","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria","Ilyonectria macrodidyma","Xixon01",899,1
"42ed4d417550285aaeed3ab4564755aa","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Gibberella zeae","Xixon01",126,1
"4fd7598be37bf392d9f8c1c9152c07db","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Bionectria","Bionectria rossmaniae","Xixon01",2664,1
"ba14b83d3509898c8d33ee1642f84354","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA,"Xixon01",120,1
"34d5a0367b1fc5f12f0c456c51accc01","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Xixon01",89,1
"e50a7bd42c7279b458222f8dcce63684","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metacordyceps","Metacordyceps chlamydosporia","Xixon01",15,1
"bf5b3d89020b717ed5a86a0ad6f1c568","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","Epicoccum nigrum","Xixon01",262,1
