"Sample ID","File ID","Remarks","DNA isolation protocol","Extract DNA concentration (ng/μL)","PCR round","Library DNA concentration (ng/μL)","Raw reads*","Filtered reads","Denoised reads","Merged reads","Non-chimaeric sequences"
"1","1-ITS","01/06/2023 N4A La Coría","PowerSoil Pro",">100","4","19.6","147967","134995","133774","131031","128783"
"2","2-ITS","02/06/2023 N2B Cabueñes","PowerSoil Pro",">100","4","20","127396","114015","112444","109843","106495"
"3","3-ITS","05/06/23","PowerSoil Pro","76.6","4","18.6","147662","138590","137691","135354","130055"
"4","4-ITS","05/06/23","PowerSoil Pro",">100","4","13.9","131951","122856","122202","119893","104303"
"5","5-ITS","05/06/23","PowerSoil Pro",">100","4","14.8","113798","101870","100098","97870","94659"
"6","6-ITS","07/06/23","PowerSoil Pro",">100","4","16.1","157200","143697","142583","140818","136232"
"7","7-ITS","07/06/23","PowerSoil Pro",">100","4","13.6","129408","117309","116078","114546","112345"
"8","8-ITS","07/06/23","PowerSoil Pro",">100","4","22.2","142482","129918","128466","126043","120044"
"9","9-ITS","08/06/23","PowerSoil Pro",">100","4","16.4","146094","132267","130629","128090","122909"
"10","10-ITS","08/06/23","PowerSoil Pro",">100","4","15.9","113743","105623","104720","102813","100001"
"11","11-ITS","08/06/23","PowerSoil Pro","95.2","4","12.8","111555","101509","100551","98159","96216"
"12","12-ITS","12/06/23","PowerSoil Pro",">100","4","16.3","168823","150842","149208","146019","140610"
"13","13-ITS","12/06/23","PowerSoil Pro","78","4","14.5","109918","98851","97050","94653","91585"
"14","14-ITS","12/06/23","PowerSoil Pro",">100","4","14.8","144175","133036","131523","128543","125901"
"15","15-ITS","14/06/23","PowerSoil Pro","90.8","4","16.7","147674","129207","128375","125659","114585"
"16","16-ITS","14/06/23","PowerSoil Pro",">100","4","17.9","124904","113829","112882","111739","110270"
"17","17-ITS","14/06/23","PowerSoil Pro",">100","4","18.3","134095","124120","123217","121653","116039"
"18","18-ITS","14/06/23","PowerSoil Pro",">100","4","15.2","142269","130942","129687","127217","121766"
"19","19-ITS","19/06/23","PowerSoil Pro","79","4","13.9","121559","107749","106761","103937","99317"
"20","20-ITS","19/06/23","PowerSoil Pro",">100","4","14","141171","127019","125590","121318","119088"
"21","21-ITS","19/06/23","PowerSoil Pro","70.2","4","16.4","176481","160549","159745","158375","157110"
"22","22-ITS","21/06/23","PowerSoil Pro","16.2","4","14.8","94750","84121","83241","81508","79223"
"23FD","23FD-ITS","21/06/23","FastDNA","7.98","12","13","88923","81411","81127","79752","79045"
"24","24-ITS","21/06/23","PowerSoil Pro",">100","4","14.6","172512","160866","159384","156987","153673"
"25","25-ITS","22/06/23","PowerSoil Pro",">100","4","18.2","124041","113210","112284","110536","106479"
"26","26-ITS","22/06/23","PowerSoil Pro",">100","4","15.4","138384","126636","125457","122101","117002"
"27","27-ITS","22/06/23","PowerSoil Pro",">100","4","14.8","122795","111188","109981","107810","105580"
"28","28-ITS","23/06/23","PowerSoil Pro",">100","4","13.9","139661","127010","124738","121394","118296"
"29","29-ITS","23/06/23","PowerSoil Pro",">100","4","12.1","135713","125928","124386","122184","118576"
"30","30-ITS","23/06/23","PowerSoil Pro",">100","4","19.2","140248","130461","129147","127127","121383"
"Bex1","Bex1-ITS","n/a","PowerSoil Pro","<0.1","4","<0.1","2","1","1","1","1"
"Bex2","Bex2-ITS","n/a","PowerSoil Pro","<0.1","4","0.262","174","163","163","163","163"
"Bex4","Bex4-ITS","n/a","FastDNA","<0.1","12","<0.1","25","22","22","22","22"
"BPCR4","BPCR4-ITS","n/a","n/a","n/a","4","0.66","363","340","318","318","318"
"BPCR12","BPCR12-ITS","n/a","n/a","n/a","12","0.214","121","116","111","110","110"
