id,taxon,cover
Xixon01,Anagallis arvensis,5
Xixon01,Brassica nigra,1
Xixon01,Calystegia sepium,1
Xixon01,Carex divulsa,1
Xixon01,Centaurea nigra,0.1
Xixon01,Cerastium glomeratum,0.1
Xixon01,Cirsium arvense,1
Xixon01,Cirsium vulgare,0.1
Xixon01,Conium maculatum,1
Xixon01,Dactylis glomerata,2
Xixon01,Dittrichia viscosa,1
Xixon01,Equisetum telmateia,2
Xixon01,Erigeron sumatrensis,0.1
Xixon01,Euphorbia platyphyllos,10
Xixon01,Galactites tomentosus,80
Xixon01,Geranium dissectum,0.1
Xixon01,Hedera helix s.l.,0.1
Xixon01,Helminthotheca echioides,20
Xixon01,Holcus lanatus,5
Xixon01,Hypericum perforatum,0.1
Xixon01,Juncus bufonius,0.1
Xixon01,Lathyrus pratensis,0.1
Xixon01,Leucanthemum vulgare s.l.,0.1
Xixon01,Oxalis corniculata,0.1
Xixon01,Plantago lanceolata,0.1
Xixon01,Poa pratensis,0.1
Xixon01,Potentilla reptans,0.1
Xixon01,Prunella vulgaris,0.1
Xixon01,Rubia peregrina,0.1
Xixon01,Rumex conglomeratus,1
Xixon01,Rumex crispus,1
Xixon01,Trifolium pratense,0.1
Xixon01,Trifolium repens,0.1
Xixon01,Trifolium squamosum,0.1
Xixon01,Urtica dioica,0.1
Xixon01,Veronica persica,0.1
Xixon02,Convolvulus arvensis,20
Xixon02,Dactylis glomerata,60
Xixon02,Epilobium hirsutum,0.1
Xixon02,Geranium dissectum,1
Xixon02,Geranium molle,0.1
Xixon02,Holcus lanatus,20
Xixon02,Lathyrus pratensis,10
Xixon02,Lotus corniculatus,0.1
Xixon02,Plantago lanceolata,1
Xixon02,Potentilla reptans,2
Xixon02,Rosa sp.,2
Xixon02,Rubus sp.,5
Xixon02,Schedonorus arundinaceus,60
Xixon02,Vicia sativa,1
Xixon03,Acer pseudoplatanus,0.01
Xixon03,Ajuga reptans,0.1
Xixon03,Fraxinus excelsior,0.01
Xixon03,Hedera helix s.l.,60
Xixon03,Ilex aquifolium,2
Xixon03,Laurus nobilis,75
Xixon03,Lonicera periclymenum,5
Xixon03,Physospermum cornubiense,1
Xixon03,Polypodium vulgare,0.1
Xixon03,Pteridium aquilinum,2
Xixon03,Pulmonaria longifolia,0.1
Xixon03,Quercus robur,80
Xixon03,Rosa sp.,1
Xixon03,Rubia peregrina,5
Xixon03,Rubus sp.,1
Xixon03,Ruscus aculeatus,0.1
Xixon04,Carex divulsa,0.1
Xixon04,Carex flacca,0.1
Xixon04,Centaurea nigra,2
Xixon04,Dactylis glomerata,5
Xixon04,Daucus carota,0.1
Xixon04,Holcus lanatus,20
Xixon04,Lathyrus pratensis,0.1
Xixon04,Leucanthemum vulgare s.l.,0.1
Xixon04,Linum bienne,1
Xixon04,Lolium perenne,1
Xixon04,Lotus corniculatus,40
Xixon04,Medicago lupulina,5
Xixon04,Plantago lanceolata,5
Xixon04,Poa pratensis,0.1
Xixon04,Schedonorus arundinaceus,80
Xixon04,Trifolium pratense,10
Xixon04,Trifolium repens,0.1
Xixon04,Verbena officinalis,0.1
Xixon04,Vicia sativa,1
Xixon05,Brachypodium pinnatum,1
Xixon05,Calystegia sepium,10
Xixon05,Carex cuprina,2
Xixon05,Carex divulsa,1
Xixon05,Centaurea nigra,10
Xixon05,Cirsium vulgare,2
Xixon05,Conium maculatum,40
Xixon05,Dactylis glomerata,1
Xixon05,Daucus carota,1
Xixon05,Dipsacus fullonum,1
Xixon05,Dittrichia viscosa,5
Xixon05,Elytrigia repens,10
Xixon05,Galactites tomentosus,20
Xixon05,Galium verum,0.1
Xixon05,Helminthotheca echioides,5
Xixon05,Holcus lanatus,1
Xixon05,Juncus inflexus,1
Xixon05,Lamium maculatum,2
Xixon05,Leucanthemum vulgare s.l.,2
Xixon05,Oenanthe crocata,1
Xixon05,Plantago lanceolata,0.1
Xixon05,Poa pratensis,1
Xixon05,Potentilla reptans,1
Xixon05,Prunella vulgaris,0.1
Xixon05,Rubus sp.,5
Xixon05,Rumex crispus,10
Xixon05,Schedonorus arundinaceus,1
Xixon05,Sonchus oleraceus,0.1
Xixon05,Urtica dioica,5
Xixon05,Verbena officinalis,0.1
Xixon06,Anagallis arvensis,0.1
Xixon06,Bryonia dioica,40
Xixon06,Ceratochloa cathartica,1
Xixon06,Conium maculatum,5
Xixon06,Convolvulus arvensis,2
Xixon06,Dactylis glomerata,40
Xixon06,Daucus carota,0.1
Xixon06,Galium aparine,1
Xixon06,Geranium dissectum,0.1
Xixon06,Geranium purpureum,1
Xixon06,Hedera helix s.l.,2
Xixon06,Hordeum murinum,0.1
Xixon06,Hypochaeris radicata,0.1
Xixon06,Raphanus raphanistrum,10
Xixon06,Rubia peregrina,1
Xixon06,Rubus sp.,5
Xixon06,Sonchus tenerrimus,0.1
Xixon07,Allium vineale,2
Xixon07,Anthoxanthum odoratum,10
Xixon07,Brachypodium pinnatum,5
Xixon07,Briza media,20
Xixon07,Calystegia sepium,2
Xixon07,Carex caryophyllea,2
Xixon07,Carex divulsa,1
Xixon07,Carex flacca,2
Xixon07,Carex panicea,1
Xixon07,Centaurea nigra,2
Xixon07,Cerastium glomeratum,0.1
Xixon07,Crepis vesicaria,1
Xixon07,Cynosurus cristatus,5
Xixon07,Dactylis glomerata,0.1
Xixon07,Daucus carota,10
Xixon07,Festuca rubra,2
Xixon07,Galium verum,2
Xixon07,Gaudinia fragilis,1
Xixon07,Holcus lanatus,10
Xixon07,Lathyrus pratensis,1
Xixon07,Leucanthemum vulgare s.l.,2
Xixon07,Linum bienne,0.1
Xixon07,Lotus corniculatus,20
