Accepted.SIVIM;Original.EuroMed;Accepted.EuroMed;Expert.Revision;Analysis.Names;Rank;Genus;Family;Order;Class;Group;Native
Abies alba;Abies alba;Abies alba;Abies alba;Abies alba;sp.;Abies;Pinaceae;Pinales;Pinopsida;Tracheophytes;Yes
Acacia dealbata;Acacia dealbata;Acacia dealbata;Acacia dealbata;Acacia dealbata;sp.;Acacia;Fabaceae;Fabales;Magnoliopsida;Tracheophytes;No
Acer campestre;Acer campestre;Acer campestre;Acer campestre;Acer campestre;sp.;Acer;Sapindaceae;Sapindales;Magnoliopsida;Tracheophytes;Yes
Acer XcampestreXmonspessulan;Acer campestre x monspessulanum;Acer campestre x monspessulanum;Acer campestre x monspessulanum;Acer campestre x monspessulanum;hyb.;Acer;Sapindaceae;Sapindales;Magnoliopsida;Tracheophytes;Yes
Acer monspessulanum;Acer monspessulanum;Acer monspessulanum;Acer monspessulanum;Acer monspessulanum;sp.;Acer;Sapindaceae;Sapindales;Magnoliopsida;Tracheophytes;Yes
Acer negundo;Acer negundo;Acer negundo;Acer negundo;Acer negundo;sp.;Acer;Sapindaceae;Sapindales;Magnoliopsida;Tracheophytes;No
Acer opalus;Acer opalus;Acer opalus;Acer opalus;Acer opalus;sp.;Acer;Sapindaceae;Sapindales;Magnoliopsida;Tracheophytes;Yes
Acer opalus subsp. opalus;Acer opalus;Acer opalus;Acer opalus;Acer opalus;sp.;Acer;Sapindaceae;Sapindales;Magnoliopsida;Tracheophytes;Yes
Acer platanoides;Acer platanoides;Acer platanoides;Acer platanoides;Acer platanoides;sp.;Acer;Sapindaceae;Sapindales;Magnoliopsida;Tracheophytes;No
Acer pseudoplatanus;Acer pseudoplatanus;Acer pseudoplatanus;Acer pseudoplatanus;Acer pseudoplatanus;sp.;Acer;Sapindaceae;Sapindales;Magnoliopsida;Tracheophytes;Yes
Achillea dichroa;Achillea;Achillea;Achillea;Achillea;gen.;Achillea;Asteraceae;Asterales;Magnoliopsida;Tracheophytes;Yes
Achillea ageratum;Achillea ageratum;Achillea ageratum;Achillea ageratum;Achillea ageratum;sp.;Achillea;Asteraceae;Asterales;Magnoliopsida;Tracheophytes;Yes
Filago maritima;Filago maritima;Achillea maritima;Achillea maritima;Achillea maritima;sp.;Achillea;Asteraceae;Asterales;Magnoliopsida;Tracheophytes;Yes
Otanthus maritimus;Otanthus maritimus;Achillea maritima;Achillea maritima;Achillea maritima;sp.;Achillea;Asteraceae;Asterales;Magnoliopsida;Tracheophytes;Yes
Achillea millefolium;Achillea millefolium;Achillea millefolium;Achillea millefolium;Achillea millefolium;sp.;Achillea;Asteraceae;Asterales;Magnoliopsida;Tracheophytes;Yes
Achillea millefolium subsp. millefolium;Achillea millefolium;Achillea millefolium;Achillea millefolium;Achillea millefolium;sp.;Achillea;Asteraceae;Asterales;Magnoliopsida;Tracheophytes;Yes
Achillea odorata;Achillea odorata;Achillea odorata;Achillea odorata;Achillea odorata;sp.;Achillea;Asteraceae;Asterales;Magnoliopsida;Tracheophytes;Yes
Achillea ptarmica;Achillea ptarmica;Achillea ptarmica;Achillea ptarmica;Achillea ptarmica;sp.;Achillea;Asteraceae;Asterales;Magnoliopsida;Tracheophytes;No
Achillea thracica;Achillea thracica;Achillea thracica;Achillea thracica;Achillea thracica;sp.;Achillea;Asteraceae;Asterales;Magnoliopsida;Tracheophytes;No
Achnatherum bromoides;Achnatherum bromoides;Achnatherum bromoides;Achnatherum bromoides;Achnatherum bromoides;sp.;Achnatherum;Poaceae;Poales;Liliopsida;Tracheophytes;Yes
Leucojum autumnale;Leucojum autumnale;Acis autumnalis;Acis autumnalis;Acis autumnalis;sp.;Acis;Amaryllidaceae;Asparagales;Liliopsida;Tracheophytes;Yes
Leucojum trichophyllum;Leucojum trichophyllum;Acis trichophylla ;Acis trichophylla ;Acis trichophylla ;sp.;Acis;Amaryllidaceae;Asparagales;Liliopsida;Tracheophytes;No
Aconitum tycoctonum;Aconitum lycoctonum;Aconitum lycoctonum;Aconitum lycoctonum;Aconitum lycoctonum aggr.;sp.;Aconitum;Ranunculaceae;Ranunculales;Magnoliopsida;Tracheophytes;Yes
Aconitum vulparia;Aconitum vulparia;Aconitum lycoctonum subsp. vulparia;Aconitum lycoctonum subsp. vulparia;Aconitum lycoctonum aggr.;subsp.;Aconitum;Ranunculaceae;Ranunculales;Magnoliopsida;Tracheophytes;Yes
