Original.Name,taxon
Agrostis capillaris,Agrostis capillaris
Agrostis sp.,Agrostis stolonifera
Agrostis sp. / Poa sp. 31 (gramínea 2),Agrostis capillaris
Ajuga reptans,Ajuga reptans
Allium vienale,Allium vineale
Alnus glutinosa (canopy),Alnus glutinosa
Alnus glutinosa (seedlings),Alnus glutinosa
Angelica sylvestris,Angelica sylvestris
Anthoxanthum odoratum,Anthoxanthum odoratum
Anthyllis vulneraria,Anthyllis vulneraria
Apiaceae 24,Rubus sp.
Asplenium ruta-muraria,Asplenium ruta-muraria
Asplenium ruta-muraria (ALCANTARILLA),Asplenium ruta-muraria
Asplenium trichomanes,Asplenium trichomanes
Asplenium trichomanes (ALCANTARILLA),Asplenium trichomanes
Aster squamatus,Symphyotrichum squamatum
Asteraceae 19,Sonchus oleraceus
Asteraceae 20,Erigeron sumatrensis
Asteraceae 24,Hieracium sp.
Asteraceae 25,Crepis vesicaria
Asteraceae 5,Sonchus oleraceus
Asteraceae blanca 27,Leucanthemum vulgare s.l.
Avena barbata,Avena barbata
Bartsia trixago,Bellardia trixago
Bellis perennis,Bellis perennis
Betonica officinalis (=Stachys),Stachys officinalis
Blackstonia perfoliata,Blackstonia perfoliata
Brachypodium pinnatum,Ceratochloa cathartica
Brachypodium pinnatum,Brachypodium pinnatum
Brachypodium sp.,Brachypodium pinnatum
Brachypodium sylvaticum,Brachypodium sylvaticum
Brachypodum rupestre,Brachypodium pinnatum
Brassica nigra,Brassica nigra
Brassicaceae 20,Hirschfeldia incana
Brassicaceae dominante 21,Hirschfeldia incana
Briza maxima,Briza maxima
Briza media,Briza media
Bromus cf. catharticus,Ceratochloa cathartica
Bromus hordaeus,Bromus hordeaceus
Bromus madritensis,Anisantha madritensis
Bromus racemosus,Bromus racemosus
Bryonia dioica,Bryonia dioica
Buddleia davidii,Buddleja davidii
Calystegia sepium,Calystegia sepium
Calystegia sylvatica,Calystegia silvatica
Capsella bursa-pastoris,Capsella bursa-pastoris
Cardamine flexuosa,Cardamine flexuosa
Carduus sp.,Cirsium arvense
Carex caryophyllea,Carex caryophyllea
Carex cf divulsa,Carex divulsa
Carex cf. binervis,Carex panicea
Carex divulsa,Carex divulsa
Carex flacca,Carex flacca
Carex otrubae,Carex cuprina
Carex pendula,Carex pendula
Carex sp. (veg.),Carex divulsa
Carex sp. 19 (pequeño),Carex divulsa
Carex sp. 27,Carex leporina
Catapodium sp.,Catapodium rigidum
Centaurea nigra,Centaurea nigra
Centaurium cf puchellum (enano),Centaurium pulchellum
Centaurium erytraeae,Centaurium erythraea
Centaurium parviflorus,Centaurium tenuiflorum
Centaurium tenuiflorum,Centaurium tenuiflorum
Cerastium glomeratum,Cerastium glomeratum
cf Prunella vulgaris,Prunella vulgaris
cf. Crepis,Picris hieracioides
cf. Hipochaeris radicata,Hypochaeris radicata
cf. Physospermum cornubiense,Physospermum cornubiense
cf. Polypogon viridis (graminea 1),Polypogon viridis
Circaea lutetiana,Circaea lutetiana
Cirsium sp.,Cirsium vulgare
Cirsium vulgare,Cirsium vulgare
Clinopodium sp. (veg),Clinopodium vulgare
Conium maculatum,Conium maculatum
Convolvulus arvensis,Convolvulus arvensis
Conyza bonariensis,Erigeron sumatrensis
Conyza sumatrensis,Erigeron sumatrensis
Cortaderia selloana,Cortaderia selloana
Corylus avellana,Corylus avellana
Cotoneaster sp.,Cotoneaster coriaceus
Crataegus monogyna ,Crataegus monogyna
Crepis capillaris,Crepis vesicaria
Crepis setoseae,Crepis vesicaria
Crepis sp. 3,Pulmonaria longifolia
Crepis sp. 32,Crepis vesicaria
Cymbalaria muralis,Cymbalaria muralis
Cynodon dactylon,Cynodon dactylon
Cynosurus cristatus,Cynosurus cristatus
Cyperus eragrostis,Cyperus eragrostis
Cyperus longus,Cyperus longus
Dactylis glomerata,Dactylis glomerata
Dactylorhiza elata,Dactylorhiza elata
Danthonia decumbens,Danthonia decumbens
Daucus carota,Daucus carota
Dichondra micrantha,Dichondra micrantha
Digitaria sanguinalis,Digitaria sanguinalis
Digitaria sangunalis,Digitaria sanguinalis
Dioscorea communis,Dioscorea communis
Dipsacus fullonum,Dipsacus fullonum
Dittrichia viscosa,Dittrichia viscosa
Dryopteris filix-mas,Dryopteris filix-mas
Elytrigia sp.,Elytrigia repens
Epilobium hirsutum,Epilobium hirsutum
Epilobium parviflorum,Epilobium parviflorum
Epilobium tetragonum,Epilobium tetragonum
Equisetum sp.,Equisetum telmateia
Equisetum telemateia,Equisetum telmateia
Erigeron bonariensis,Erigeron sumatrensis
Erigeron gr. canadensis,Erigeron sumatrensis
Erigeron gr. Canadensis,Erigeron acris
Erigeron karvinskianus,Erigeron karvinskianus
Erodium cicutarium,Erodium cicutarium
Erodium moschatum,Erodium moschatum
Euphorbia maculata,Euphorbia maculata
Euphorbia peplus,Euphorbia peplus
Euphorbia platyphyllos,Euphorbia platyphyllos
Euphorbia prostrata,Euphorbia prostrata
Euphorbia sp.,Euphorbia platyphyllos
Festuca cf pratensis,Schedonorus arundinaceus
Festuca pratensis,Schedonorus arundinaceus
Festuca rubra,Festuca rubra
Festuca sp. (pequeña),Schedonorus arundinaceus
Foeniculum,Foeniculum vulgare
Galactites tomentosus,Galactites tomentosus
Galium parisiense,Galium parisiense
Galium sp. 21,Galium parisiense
Galium sp. 6,Galium aparine
Galium verum,Galium verum
Gamochaeta coarctata,Gnaphalium coarctatum
Gaudinia fragilis,Gaudinia fragilis
Geranium dissectum,Geranium dissectum
Geranium molle,Geranium molle
Geranium purpureum,Geranium purpureum
Geranium robertianum,Geranium robertianum
Geranium sp. 27,Geranium dissectum
Geum urbanum,Geum urbanum
Glechoma hederaceae,Glechoma hederacea
Gramínea (pequeña),Agrostis stolonifera
Hedera hibernica,Hedera helix s.l.
Hedera hibernica (canopy),Hedera helix s.l.
Hedera hibernica (seedlings),Hedera helix s.l.
Helmintotheca echioides,Helminthotheca echioides
Hirschfeldia incana,Hirschfeldia incana
Holcus lanatus,Holcus lanatus
Hordeum murinum,Hordeum murinum
Hypericum perforatum,Hypericum perforatum
Hypericum pulchrum,Hypericum pulchrum
Hypochaeris radicata,Hypochaeris radicata
Ilex aquifolium,Ilex aquifolium
Juncus cf. Inflexus,Juncus inflexus
Kickxia elatine,Kickxia elatine
Knautia arvensis,Sixalix atropurpurea
Lactuca serriola,Lactuca serriola
Lactuca virosa,Lactuca virosa
Lamium maculatum,Lamium maculatum
Lathyrus pratensis,Lathyrus pratensis
Lavatera cretica,Malva sylvestris
Leontodon hispidus,Leontodon hispidus
Lepidium didymum (plántula),Lepidium didymum
Leucanthemum vulgare,Leucanthemum vulgare s.l.
Lilium pyrenaicum,Lilium pyrenaicum
