taxon,family,lifeform,origin
Acer pseudoplatanus,Sapindaceae,Mesophanerophyte,Native
Agrostis capillaris,Poaceae,Hemicryptophyte,Native
Agrostis stolonifera,Poaceae,Hemicryptophyte,Native
Ajuga reptans,Lamiaceae,Hemicryptophyte,Native
Allium vineale,Amaryllidaceae,Geophyte,Native
Alnus glutinosa,Betulaceae,Mesophanerophyte,Native
Anagallis arvensis,Primulaceae,Therophyte,Native
Angelica sylvestris,Apiaceae,Hemicryptophyte,Native
Anisantha madritensis,Poaceae,Therophyte,Native
Anthemis cotula,Asteraceae,Therophyte,Native
Anthoxanthum odoratum,Poaceae,Hemicryptophyte,Native
Anthyllis vulneraria,Fabaceae,Hemicryptophyte,Native
Asplenium ruta-muraria,Aspleniaceae,Hemicryptophyte,Native
Asplenium trichomanes,Aspleniaceae,Hemicryptophyte,Native
Avena barbata,Poaceae,Therophyte,Native
Bellardia trixago,Orobanchaceae,Therophyte,Native
Bellis perennis,Asteraceae,Hemicryptophyte,Native
Blackstonia perfoliata,Gentianaceae,Therophyte,Native
Brachypodium pinnatum,Poaceae,Hemicryptophyte,Native
Brachypodium sylvaticum,Poaceae,Hemicryptophyte,Native
Brassica nigra,Brassicaceae,Therophyte,Native
Briza maxima,Poaceae,Therophyte,Native
Briza media,Poaceae,Hemicryptophyte,Native
Bromus hordeaceus,Poaceae,Therophyte,Native
Bromus racemosus,Poaceae,Therophyte,Native
Bryonia dioica,Cucurbitaceae,Hemicryptophyte,Native
Buddleja davidii,Scrophulariaceae,Microphanerophyte,Alien
Calystegia sepium,Convolvulaceae,Geophyte,Native
Calystegia silvatica,Convolvulaceae,Geophyte,Native
Capsella bursa-pastoris,Brassicaceae,Therophyte,Native
Cardamine flexuosa,Brassicaceae,Hemicryptophyte,Native
Carex caryophyllea,Cyperaceae,Hemicryptophyte,Native
Carex cuprina,Cyperaceae,Hemicryptophyte,Native
Carex divulsa,Cyperaceae,Hemicryptophyte,Native
Carex flacca,Cyperaceae,Geophyte,Native
Carex leporina,Cyperaceae,Hemicryptophyte,Native
Carex panicea,Cyperaceae,Hemicryptophyte,Native
Carex pendula,Cyperaceae,Hemicryptophyte,Native
Castanea sativa,Fagaceae,Mesophanerophyte,Native
Catapodium rigidum,Poaceae,Therophyte,Native
