"kingdom","phylum","class","order","family","genus","species"
"Archaea","Crenarchaeota","Nitrososphaeria","Group_1.1c","Group_1.1c","Group_1.1c","uncultured crenarchaeote"
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus_Nitrocosmicus","uncultured archaeon"
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus_Nitrocosmicus",NA
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus_Nitrososphaera","uncultured soil"
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus_Nitrososphaera","unidentified archaeon"
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus_Nitrososphaera",NA
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaeraceae","uncultured compost"
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaeraceae","uncultured euryarchaeote"
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaeraceae","uncultured soil"
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaeraceae",NA
"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"Archaea","Halobacterota","Methanocellia","Methanocellales","Methanocellaceae","Rice_Cluster_I",NA
"Archaea","Halobacterota","Methanosarcinia","Methanosarciniales","Methanosarcinaceae","Methanosarcina",NA
"Archaea","Thermoplasmatota","Thermoplasmata","Marine_Group_II","Marine_Group_II","Marine_Group_II","uncultured archaeon"
"Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Methanomassiliicoccus","uncultured archaeon"
"Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium","uncultured bacterium"
"Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium","uncultured soil"
"Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium",NA
"Bacteria","Acidobacteriota","AT-s3-28","AT-s3-28","AT-s3-28","AT-s3-28","uncultured Acidobacteriaceae"
"Bacteria","Acidobacteriota","AT-s3-28","AT-s3-28","AT-s3-28","AT-s3-28",NA
"Bacteria","Acidobacteriota","Acidobacteriae","AKIW659","AKIW659","AKIW659","uncultured bacterium"
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriae","Acidobacteriae","Paludibaculum","metagenome"
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriae","Acidobacteriae","Paludibaculum",NA
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Acidicapsa","Acidicapsa sp."
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Acidicapsa",NA
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Acidipila-Silvibacterium","metagenome"
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Acidipila-Silvibacterium","uncultured bacterium"
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Acidipila-Silvibacterium",NA
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Edaphobacter",NA
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Granulicella",NA
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Occallatibacter","bacterium Ellin5239"
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Occallatibacter","uncultured Acidobacterium"
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Occallatibacter","uncultured forest"
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Occallatibacter",NA
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Terriglobus",NA
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","uncultured","Acidobacteria bacterium"
"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","uncultured","uncultured Acidobacteriales"
